id,category,sub_category,created_at,response_at,department_id,admin_response,admin_eval_on_ai_response,client_satisfaction
1,ACCOUNT,delete_account,2025-04-05 22:06:07.146811,2025-04-09 14:57:09.558895,6,we will delete the account,good,satisfied
2,ACCOUNT,account_registration_problems,2025-04-05 22:06:55.019139,,4,Pending,,
3,CANCEL,check_cancellation_fee,2025-04-05 22:07:55.654249,,8,Pending,,
4,FEEDBACK,feedback_review,2025-04-05 22:29:23.156716,,14,Pending,,
5,INVOICE,check_invoice,2025-02-18 23:30:43.000000,2025-02-20 04:30:43.000000,15,We've canceled your order and issued a full refund.,,
6,ACCOUNT,switch_account,2025-02-24 14:01:14.000000,2025-02-26 12:01:14.000000,3,We've forwarded your complaint to the relevant department.,,
7,REFUND,track_refund,2025-03-20 03:53:21.000000,,23,Pending,,
8,SUBSCRIPTION,newsletter_subscription,2025-02-22 22:29:52.000000,2025-02-23 09:29:52.000000,28,We've canceled your order and issued a full refund.,,
9,SHIPPING,set_up_shipping_address,2025-04-01 19:55:29.000000,2025-04-02 02:55:29.000000,26,Your request has been processed successfully.,,
10,ACCOUNT,account_registration_problems,2025-02-12 03:46:48.000000,2025-02-12 05:46:48.000000,4,We've implemented a fix for this issue. Thank you for your patience.,,
11,CANCEL,check_cancellation_fee,2025-02-09 18:13:58.000000,2025-02-10 16:13:58.000000,8,Your refund has been processed and should appear in 3-5 business days.,,
12,REFUND,check_refund_policy,2025-02-22 00:25:44.000000,2025-02-23 03:25:44.000000,24,The delivery has been rescheduled as per your request.,,
13,FEEDBACK,feedback_complaint,2025-03-23 05:34:32.000000,2025-03-25 14:34:32.000000,13,The delivery has been rescheduled as per your request.,,
14,SHIPPING,change_shipping_address,2025-04-04 02:44:58.000000,2025-04-04 14:44:58.000000,27,Your request has been processed successfully.,,
15,INVOICE,check_invoice,2025-02-25 14:13:26.000000,2025-02-28 13:13:26.000000,15,This matter has been escalated to our senior team for review.,,
16,FEEDBACK,feedback_review,2025-03-03 20:09:51.000000,2025-03-05 23:09:51.000000,14,We've updated your account settings as requested.,,
17,FEEDBACK,feedback_review,2025-02-12 13:40:31.000000,2025-02-13 05:40:31.000000,14,Your refund has been processed and should appear in 3-5 business days.,,
18,FEEDBACK,feedback_review,2025-02-25 00:56:20.000000,2025-02-26 04:56:20.000000,14,We've updated your account settings as requested.,,
19,CANCEL,check_cancellation_fee,2025-02-28 11:22:10.000000,2025-02-28 16:22:10.000000,8,We've forwarded your complaint to the relevant department.,,
20,SHIPPING,change_shipping_address,2025-03-21 13:49:32.000000,2025-03-22 12:49:32.000000,27,We've implemented a fix for this issue. Thank you for your patience.,,
21,PAYMENT,payment_issue,2025-04-01 09:31:53.000000,,22,Pending,,
22,CONTACT,contact_human_agent,2025-03-04 17:17:15.000000,2025-03-07 10:17:15.000000,10,Your subscription has been updated successfully.,,
23,ACCOUNT,switch_account,2025-02-19 07:54:39.000000,2025-02-20 17:54:39.000000,3,We've canceled your order and issued a full refund.,,
24,CANCEL,check_cancellation_fee,2025-02-25 02:36:18.000000,2025-02-27 03:36:18.000000,8,We've canceled your order and issued a full refund.,,
25,ACCOUNT,account_registration_problems,2025-03-04 04:12:38.000000,2025-03-04 07:12:38.000000,4,Your refund has been processed and should appear in 3-5 business days.,,
26,FEEDBACK,feedback_complaint,2025-04-03 15:32:43.000000,,13,Pending,,
27,PAYMENT,check_payment_methods,2025-02-27 21:52:46.000000,,21,Pending,,
28,ACCOUNT,edit_account,2025-03-29 14:27:29.000000,2025-03-31 08:27:29.000000,2,Your request has been processed successfully.,,
29,DELIVERY,delivery_options,2025-03-25 10:31:59.000000,,12,Pending,,
30,PAYMENT,payment_issue,2025-03-20 13:55:27.000000,2025-03-22 00:55:27.000000,22,We've canceled your order and issued a full refund.,,
31,REFUND,check_refund_policy,2025-03-17 18:24:41.000000,2025-03-20 06:24:41.000000,24,Your subscription has been updated successfully.,,
32,SHIPPING,set_up_shipping_address,2025-02-20 08:42:41.000000,2025-02-22 11:42:41.000000,26,This matter has been escalated to our senior team for review.,,
33,REFUND,track_refund,2025-02-12 22:36:34.000000,2025-02-13 15:36:34.000000,23,Your request has been processed successfully.,,
34,INVOICE,check_invoice,2025-03-21 05:00:30.000000,,15,Pending,,
35,DELIVERY,delivery_options,2025-03-19 18:13:39.000000,2025-03-21 15:13:39.000000,12,We've canceled your order and issued a full refund.,,
36,CANCEL,check_cancellation_fee,2025-04-05 07:38:21.000000,2025-04-07 14:38:21.000000,8,Your refund has been processed and should appear in 3-5 business days.,,
