Ticket#,Ticket,Model,Correct Categories,Main Category,Other Considered Categories,Main Accuracy,Multi Accuracy
1,I want to cancel my order and get a refund because I never received it.,Logistic Regression,"cancel_order, get_refund",cancel_order,get_refund,correct,correct
1,I want to cancel my order and get a refund because I never received it.,SVM,"cancel_order, get_refund",cancel_order,"get_invoice, get_refund",correct,wrong
1,I want to cancel my order and get a refund because I never received it.,SGD,"cancel_order, get_refund",cancel_order,"get_refund, delete_account, account_recover_password",correct,wrong
1,I want to cancel my order and get a refund because I never received it.,Random Forest,"cancel_order, get_refund",cancel_order,get_refund,correct,correct
1,I want to cancel my order and get a refund because I never received it.,Naïve Bayes,"cancel_order, get_refund",get_refund,"cancel_order, delete_account",correct,wrong
2,"Can you help me track my recent order? Also, I need to change my shipping address.",Logistic Regression,"track_order, change_shipping_address",change_shipping_address,change_order,correct,wrong
2,"Can you help me track my recent order? Also, I need to change my shipping address.",SVM,"track_order, change_shipping_address",change_shipping_address,track_order,correct,correct
2,"Can you help me track my recent order? Also, I need to change my shipping address.",SGD,"track_order, change_shipping_address",change_shipping_address,"track_order, contact_human_agent, newsletter_subscription",correct,wrong
2,"Can you help me track my recent order? Also, I need to change my shipping address.",Random Forest,"track_order, change_shipping_address",change_shipping_address,"set_up_shipping_address, change_order",correct,wrong
2,"Can you help me track my recent order? Also, I need to change my shipping address.",Naïve Bayes,"track_order, change_shipping_address",change_shipping_address,,correct,wrong
3,I forgot my password and now my payment isn't going through. Help!,Logistic Regression,"account_recover_password, payment_issue",account_recover_password,,correct,wrong
3,I forgot my password and now my payment isn't going through. Help!,SVM,"account_recover_password, payment_issue",account_recover_password,,correct,wrong
3,I forgot my password and now my payment isn't going through. Help!,SGD,"account_recover_password, payment_issue",account_recover_password,"check_payment_methods, payment_issue, contact_human_agent",correct,wrong
3,I forgot my password and now my payment isn't going through. Help!,Random Forest,"account_recover_password, payment_issue",payment_issue,"check_payment_methods, account_recover_password",correct,wrong
3,I forgot my password and now my payment isn't going through. Help!,Naïve Bayes,"account_recover_password, payment_issue",account_recover_password,,correct,wrong
4,"Where can I see available delivery options? Also, I'd like to delete my account permanently.",Logistic Regression,"delivery_options, delete_account",delete_account,delivery_options,correct,correct
4,"Where can I see available delivery options? Also, I'd like to delete my account permanently.",SVM,"delivery_options, delete_account",delete_account,,correct,wrong
4,"Where can I see available delivery options? Also, I'd like to delete my account permanently.",SGD,"delivery_options, delete_account",delete_account,"delivery_options, account_recover_password, contact_human_agent",correct,wrong
4,"Where can I see available delivery options? Also, I'd like to delete my account permanently.",Random Forest,"delivery_options, delete_account",delete_account,delivery_options,correct,correct
4,"Where can I see available delivery options? Also, I'd like to delete my account permanently.",Naïve Bayes,"delivery_options, delete_account",delivery_options,delete_account,correct,correct
5,"I tried to contact support, but no human agent responded. My payment also failed!",Logistic Regression,"contact_human_agent, payment_issue",contact_human_agent,,correct,wrong
5,"I tried to contact support, but no human agent responded. My payment also failed!",SVM,"contact_human_agent, payment_issue",contact_human_agent,,correct,wrong
5,"I tried to contact support, but no human agent responded. My payment also failed!",SGD,"contact_human_agent, payment_issue",contact_human_agent,"contact_customer_service, account_recover_password, newsletter_subscription",correct,wrong
5,"I tried to contact support, but no human agent responded. My payment also failed!",Random Forest,"contact_human_agent, payment_issue",contact_human_agent,"check_payment_methods, contact_customer_service, payment_issue",correct,wrong
5,"I tried to contact support, but no human agent responded. My payment also failed!",Naïve Bayes,"contact_human_agent, payment_issue",contact_human_agent,,correct,wrong
