Intent,Department,Description,department_slug
place_order,Orders & Purchases,Place a new order,orders_and_purchases
change_order,Orders & Purchases,Modify an existing order,orders_and_purchases
track_order,Orders & Purchases,Check order shipment status,orders_and_purchases
cancel_order,Returns & Refunds,Cancel an existing order,returns_and_refunds
check_cancellation_fee,Returns & Refunds,Check if there's a cancellation fee,returns_and_refunds
get_refund,Returns & Refunds,Request a refund for a purchase,returns_and_refunds
track_refund,Returns & Refunds,Track status of a refund request,returns_and_refunds
check_refund_policy,Returns & Refunds,Ask about the refund policy,returns_and_refunds
check_invoice,Billing & Invoices,Verify or review an invoice,billing_and_invoices
get_invoice,Billing & Invoices,Request an invoice copy,billing_and_invoices
payment_issue,Billing & Invoices,Report a payment problem,billing_and_invoices
check_payment_methods,Billing & Invoices,Ask about available payment methods,billing_and_invoices
create_account,Accounts & Access,Sign up for a new account,accounts_and_access
delete_account,Accounts & Access,Request to delete account,accounts_and_access
recover_password,Accounts & Access,Request help resetting password,accounts_and_access
edit_account,Accounts & Access,Change personal details,accounts_and_access
registration_problems,Accounts & Access,Issues during account registration,accounts_and_access
switch_account,Accounts & Access,Switch to a different user account,accounts_and_access
change_shipping_address,Shipping & Delivery,Update shipping destination,shipping_and_delivery
set_up_shipping_address,Shipping & Delivery,Add a new shipping address,shipping_and_delivery
delivery_options,Shipping & Delivery,Ask about available shipping methods,shipping_and_delivery
delivery_period,Shipping & Delivery,Ask about delivery timing,shipping_and_delivery
contact_customer_service,Customer Service,Request to speak with support,customer_service
contact_human_agent,Customer Service,Specifically request human support,customer_service
review,Feedback & Community,Submit a product or service review,feedback_and_community
complaint,Feedback & Community,Submit a general complaint,feedback_and_community
newsletter_subscription,Feedback & Community,Manage email or newsletter preferences,feedback_and_community
account_registration_problems,Accounts & Access,Issues during account registration,accounts_and_access
